,symbol,buy,sell,size,times_greater,lastP,time,bs0
0,ACC,107991,106030,B,1.0184947656323682,"1,576.50",10:55,B
1,AMARAJABAT,152716,113264,B,1.348318971606159,641.70,10:55,B
2,AMBUJACEM,362768,513459,S,1.4153922065893354,211.10,10:55,S
3,APOLLOTYRE,494900,460125,B,1.0755772887802229,163.90,10:55,B
4,ASIANPAINT,161425,144768,B,1.1150599580017684,"1,591.85",10:55,B
5,AUROPHARMA,315495,847776,S,2.6871297484904675,615.75,10:55,S
6,AXISBANK,499111,673361,S,1.3491207366697988,665.00,10:55,S
7,BAJAJ-AUTO,97123,72943,B,1.3314917127071824,"2,732.00",10:55,B
8,BAJAJFINSV,54678,53783,B,1.0166409460238366,"7,425.75",10:55,B
9,BAJFINANCE,118868,109540,B,1.0851561073580427,"3,404.00",10:55,B
