Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,087.90","11,181.45","11,062.80","11,109.65","77.20","0.70","5,380.63","21,091.89","12,103.05","10,004.55","-2.97","-3.86"
"IBULHSGFIN","447.00","521.00","447.00","510.00","65.65","14.77","374.75","1,829.16","1,380.90","425.50","-62.78","-25.77"
"EICHERMOT","16,730.15","17,787.95","16,730.15","17,600.00","788.35","4.69","1.83","317.10","29,800.00","15,786.00","-36.22","-7.56"
"TITAN","1,050.00","1,077.00","1,041.50","1,077.00","35.90","3.45","29.45","311.55","1,340.90","732.30","15.19","-2.00"
"MARUTI","5,937.65","6,155.00","5,927.20","6,100.25","198.00","3.35","14.45","874.67","9,468.30","5,446.05","-33.75","2.60"
"BAJAJFINSV","7,355.00","7,590.00","7,325.00","7,494.00","203.55","2.79","4.16","311.27","8,580.00","4,955.00","6.27","-4.60"
"HDFCBANK","2,247.00","2,289.00","2,239.80","2,285.00","51.85","2.32","76.09","1,730.86","2,503.30","1,885.00","6.96","-3.96"
"BAJFINANCE","3,359.95","3,449.60","3,340.00","3,406.85","72.15","2.16","21.02","716.15","3,762.00","1,912.20","21.10","-5.45"
"VEDL","139.00","144.80","138.40","141.50","2.80","2.02","134.64","191.92","246.90","134.45","-37.06","-12.38"
"HINDUNILVR","1,805.00","1,846.65","1,800.90","1,838.00","34.90","1.94","17.31","316.61","1,869.50","1,477.20","4.60","5.62"
"KOTAKBANK","1,506.00","1,535.50","1,504.25","1,531.75","29.00","1.93","24.46","372.19","1,555.90","1,002.20","18.90","4.71"
"ICICIBANK","416.50","422.40","414.50","421.35","6.95","1.68","176.64","740.35","443.90","294.80","32.21","-1.67"
"GAIL","122.20","125.40","120.60","123.90","1.95","1.60","138.86","170.58","199.70","119.60","-67.14","-15.77"
"HDFC","2,192.70","2,240.00","2,178.75","2,214.00","31.70","1.45","42.38","941.97","2,357.85","1,644.50","11.56","-0.84"
"HEROMOTOCO","2,613.85","2,641.90","2,600.00","2,620.35","32.45","1.25","10.91","286.21","3,380.00","2,225.60","-20.57","7.21"
"M&M","540.90","548.30","530.00","545.10","5.55","1.03","43.13","233.10","993.00","515.00","-41.28","-13.85"
"INFRATEL","250.25","255.00","248.20","252.70","2.45","0.98","18.50","46.65","335.00","238.70","-13.00","-3.07"
"GRASIM","739.00","767.00","739.00","744.70","7.25","0.98","20.39","154.18","1,093.00","689.10","-26.20","-18.25"
"BRITANNIA","2,590.90","2,644.35","2,522.30","2,601.95","24.35","0.94","14.30","370.96","3,467.18","2,522.30","-58.71","-5.82"
"BPCL","343.50","350.90","341.00","346.30","2.80","0.82","38.54","133.61","421.70","238.55","-10.59","-3.83"
"RELIANCE","1,161.85","1,175.50","1,152.30","1,161.00","8.65","0.75","100.44","1,171.46","1,417.50","1,016.40","-4.66","-9.30"
"ULTRACEMCO","4,351.00","4,383.70","4,240.70","4,260.20","27.05","0.64","10.31","445.87","4,904.95","3,260.45","0.38","-5.30"
"ASIANPAINT","1,569.20","1,581.90","1,561.00","1,575.85","9.95","0.64","11.55","181.81","1,581.90","1,118.00","10.53","19.29"
"ADANIPORTS","377.70","380.50","374.25","376.00","2.05","0.55","22.23","83.90","430.60","292.10","0.37","-7.16"
"LT","1,372.00","1,392.50","1,361.10","1,364.60","3.95","0.29","24.19","333.48","1,607.00","1,182.50","5.11","-10.61"
"IOC","130.60","131.30","129.05","131.10","0.25","0.19","117.75","153.44","170.75","105.25","-20.98","-13.41"
"INFY","792.00","796.75","784.80","790.00","1.25","0.16","43.63","344.70","804.00","599.85","-42.03","10.41"
"INDUSINDBK","1,435.00","1,435.00","1,405.30","1,415.00","0.95","0.07","46.66","662.93","2,014.75","1,312.00","-29.27","-5.17"
"AXISBANK","664.20","675.95","660.00","660.10","0.00","0.00","92.90","619.45","827.75","534.55","10.70","-16.04"
"ONGC","131.65","132.40","129.65","130.70","-0.15","-0.11","88.47","116.15","185.40","127.60","-24.23","-14.80"
"UPL","534.25","550.00","529.20","532.20","-0.65","-0.12","49.18","266.45","709.05","388.10","-17.85","-16.85"
"BAJAJ-AUTO","2,710.55","2,741.50","2,685.00","2,700.25","-3.50","-0.13","6.73","182.61","3,149.95","2,420.00","1.49","-3.09"
"DRREDDY","2,576.75","2,589.70","2,560.10","2,566.00","-5.95","-0.23","3.74","96.36","2,964.00","1,872.95","14.27","-1.26"
"BHARTIARTL","372.00","373.75","364.15","371.05","-1.10","-0.30","77.00","284.63","378.75","253.99","-3.70","2.42"
"HCLTECH","1,084.80","1,102.45","1,077.80","1,083.15","-5.10","-0.47","28.23","308.50","1,187.60","920.00","12.30","6.11"
"TCS","2,260.00","2,267.90","2,241.35","2,245.00","-13.10","-0.58","17.45","393.06","2,292.50","1,784.35","13.73","5.23"
"POWERGRID","203.50","208.85","201.25","201.40","-1.30","-0.64","51.61","105.77","216.25","172.50","6.28","-1.64"
"WIPRO","266.00","268.70","262.85","263.65","-2.10","-0.79","35.30","93.69","301.60","205.81","-5.33","-0.70"
"SBIN","296.30","298.00","290.05","291.85","-2.50","-0.85","233.78","688.17","373.80","247.40","-5.46","-18.82"
"SUNPHARMA","428.00","430.35","418.45","422.50","-3.95","-0.93","34.35","145.68","679.30","344.55","-26.39","9.34"
"JSWSTEEL","221.70","228.45","219.30","219.50","-2.20","-0.99","90.77","204.00","427.55","208.75","-35.96","-16.33"
"NTPC","124.60","126.65","123.15","123.35","-1.30","-1.04","105.67","132.01","146.17","106.67","-22.05","-4.79"
"TATAMOTORS","124.50","126.50","120.70","122.55","-1.50","-1.21","392.45","483.11","282.00","116.50","-51.97","-21.34"
"ITC","258.85","258.85","253.50","254.30","-3.45","-1.34","99.27","253.14","322.95","253.00","-15.50","-6.88"
"ZEEL","333.00","338.80","324.30","326.45","-5.00","-1.51","86.26","287.44","540.75","288.30","-38.49","-1.60"
"TATASTEEL","370.50","373.65","360.85","361.45","-5.95","-1.62","133.53","490.70","647.60","360.60","-37.41","-22.84"
"COALINDIA","213.90","214.00","207.00","207.30","-4.55","-2.15","70.27","147.19","299.75","193.10","-24.89","-9.71"
"HINDALCO","181.00","184.45","173.30","177.00","-4.05","-2.24","145.63","260.43","259.75","171.60","-19.76","-10.56"
"TECHM","679.00","680.75","659.75","663.00","-17.20","-2.53","37.43","252.46","846.50","607.15","1.39","-1.91"
"CIPLA","505.90","511.70","481.55","485.10","-17.95","-3.57","51.73","256.03","678.45","481.55","-23.31","-11.61"
"YESBANK","91.80","92.45","81.15","82.20","-7.00","-7.85","1,870.31","1,598.18","404.00","79.15","-78.52","-10.02"

